,profit,ticker,strategy,timeframe
5,386.0076507568356,TSLA,SMACross,5m
59,372.3260498046875,TSLA,RSIVolume,5m
41,313.10251007080115,TSLA,VolumeBreakout,5m
4,139.26577758789062,META,SMACross,5m
64,134.22096252441406,NVDA,RSIVolume,15m
63,126.89971923828125,MSFT,RSIVolume,15m
32,107.52276306152271,TSLA,EMACross,15m
31,51.59600830078125,META,EMACross,15m
22,50.76611938476708,META,EMACross,5m
56,41.725006103515625,AMZN,RSIVolume,5m
71,21.450042724609375,AAPL,RSIVolume,15m
23,18.646156311033337,TSLA,EMACross,5m
68,14.20013427734375,TSLA,RSIVolume,15m
46,-0.6166938781734643,NVDA,VolumeBreakout,15m
35,-0.6227630615248927,AAPL,EMACross,15m
3,-3.6206588745117188,GOOG,SMACross,5m
0,-10.82305908203125,MSFT,SMACross,5m
12,-11.599023437502183,GOOG,SMACross,15m
55,-12.132110595703125,NVDA,RSIVolume,5m
21,-12.704624938964116,GOOG,EMACross,5m
65,-13.50006103515625,AMZN,RSIVolume,15m
38,-14.906393432618643,AMZN,VolumeBreakout,5m
69,-16.603851318359375,AVGO,RSIVolume,15m
20,-16.730516052246458,AMZN,EMACross,5m
36,-18.70025634765625,MSFT,VolumeBreakout,5m
10,-31.569841003418333,NVDA,SMACross,15m
30,-31.88818511962745,GOOG,EMACross,15m
26,-43.385455322264534,AAPL,EMACross,5m
14,-43.42778625488609,TSLA,SMACross,15m
62,-49.622955322265625,AAPL,RSIVolume,5m
29,-50.193093872070676,AMZN,EMACross,15m
19,-50.65162506103661,NVDA,EMACross,5m
6,-53.924841308593386,AVGO,SMACross,5m
34,-55.06523437499891,LLY,EMACross,15m
2,-58.895785522463484,AMZN,SMACross,5m
60,-59.5611572265625,AVGO,RSIVolume,5m
17,-66.66118316650318,AAPL,SMACross,15m
48,-69.15966796875,GOOG,VolumeBreakout,15m
47,-71.37724761962818,AMZN,VolumeBreakout,15m
54,-77.274169921875,MSFT,RSIVolume,5m
57,-86.65023803710938,GOOG,RSIVolume,5m
53,-93.26696014404297,AAPL,VolumeBreakout,15m
66,-93.89999389648438,GOOG,RSIVolume,15m
11,-101.30477905273438,AMZN,SMACross,15m
8,-108.76339111327616,AAPL,SMACross,5m
27,-112.42675170898292,MSFT,EMACross,15m
37,-120.66604156494031,NVDA,VolumeBreakout,5m
39,-137.28012542724537,GOOG,VolumeBreakout,5m
24,-142.86117095947338,AVGO,EMACross,5m
1,-147.20859069824292,NVDA,SMACross,5m
28,-150.65052490234484,NVDA,EMACross,15m
44,-159.9159927368146,AAPL,VolumeBreakout,5m
33,-177.8773239135753,AVGO,EMACross,15m
13,-180.31003417968896,META,SMACross,15m
9,-197.65332946777198,MSFT,SMACross,15m
42,-214.30119323730287,AVGO,VolumeBreakout,5m
45,-223.3341247558601,MSFT,VolumeBreakout,15m
49,-226.92682495117697,META,VolumeBreakout,15m
18,-240.58603820801,MSFT,EMACross,5m
51,-270.58659362792787,AVGO,VolumeBreakout,15m
50,-290.232620239256,TSLA,VolumeBreakout,15m
16,-331.14699707031286,LLY,SMACross,15m
40,-375.63449707031214,META,VolumeBreakout,5m
58,-413.75,META,RSIVolume,5m
15,-418.4448455810543,AVGO,SMACross,15m
25,-479.3996337890658,LLY,EMACross,5m
67,-511.0003662109375,META,RSIVolume,15m
7,-629.5688720703129,LLY,SMACross,5m
52,-697.8218933105472,LLY,VolumeBreakout,15m
70,-744.1357421875,LLY,RSIVolume,15m
43,-948.7653686523445,LLY,VolumeBreakout,5m
61,-953.8641357421875,LLY,RSIVolume,5m
