,profit,ticker,strategy,timeframe
68,0.08,TSLA,RSIVolume,15m
59,0.07,TSLA,RSIVolume,5m
5,0.04,TSLA,SMACross,5m
41,0.03,TSLA,VolumeBreakout,5m
79,0.02,LLY,BollingerRSI,5m
77,0.02,TSLA,BollingerRSI,5m
85,0.02,META,BollingerRSI,15m
31,0.01,META,EMACross,15m
22,0.01,META,EMACross,5m
4,0.01,META,SMACross,5m
32,0.01,TSLA,EMACross,15m
72,0.01,MSFT,BollingerRSI,5m
56,0.01,AMZN,RSIVolume,5m
35,-0.0,AAPL,EMACross,15m
54,0.0,MSFT,RSIVolume,5m
46,-0.0,NVDA,VolumeBreakout,15m
38,-0.0,AMZN,VolumeBreakout,5m
36,-0.0,MSFT,VolumeBreakout,5m
21,-0.0,GOOG,EMACross,5m
3,-0.0,GOOG,SMACross,5m
23,0.0,TSLA,EMACross,5m
0,-0.0,MSFT,SMACross,5m
12,-0.0,GOOG,SMACross,15m
14,-0.0,TSLA,SMACross,15m
10,-0.0,NVDA,SMACross,15m
20,-0.0,AMZN,EMACross,5m
63,-0.0,MSFT,RSIVolume,15m
65,0.0,AMZN,RSIVolume,15m
71,-0.0,AAPL,RSIVolume,15m
78,0.0,AVGO,BollingerRSI,5m
84,0.0,GOOG,BollingerRSI,15m
86,-0.0,TSLA,BollingerRSI,15m
74,0.0,AMZN,BollingerRSI,5m
73,-0.0,NVDA,BollingerRSI,5m
60,-0.0,AVGO,RSIVolume,5m
66,-0.0,GOOG,RSIVolume,15m
30,-0.0,GOOG,EMACross,15m
26,-0.0,AAPL,EMACross,5m
6,-0.01,AVGO,SMACross,5m
24,-0.01,AVGO,EMACross,5m
19,-0.01,NVDA,EMACross,5m
2,-0.01,AMZN,SMACross,5m
82,-0.01,NVDA,BollingerRSI,15m
81,-0.01,MSFT,BollingerRSI,15m
75,-0.01,GOOG,BollingerRSI,5m
83,-0.01,AMZN,BollingerRSI,15m
64,-0.01,NVDA,RSIVolume,15m
58,-0.01,META,RSIVolume,5m
69,-0.01,AVGO,RSIVolume,15m
17,-0.01,AAPL,SMACross,15m
11,-0.01,AMZN,SMACross,15m
8,-0.01,AAPL,SMACross,5m
1,-0.01,NVDA,SMACross,5m
37,-0.01,NVDA,VolumeBreakout,5m
39,-0.01,GOOG,VolumeBreakout,5m
34,-0.01,LLY,EMACross,15m
29,-0.01,AMZN,EMACross,15m
27,-0.01,MSFT,EMACross,15m
89,-0.01,AAPL,BollingerRSI,15m
88,-0.01,LLY,BollingerRSI,15m
53,-0.01,AAPL,VolumeBreakout,15m
57,-0.01,GOOG,RSIVolume,5m
47,-0.01,AMZN,VolumeBreakout,15m
48,-0.01,GOOG,VolumeBreakout,15m
55,-0.01,NVDA,RSIVolume,5m
80,-0.01,AAPL,BollingerRSI,5m
33,-0.02,AVGO,EMACross,15m
28,-0.02,NVDA,EMACross,15m
62,-0.02,AAPL,RSIVolume,5m
67,-0.02,META,RSIVolume,15m
13,-0.02,META,SMACross,15m
18,-0.02,MSFT,EMACross,5m
9,-0.02,MSFT,SMACross,15m
42,-0.02,AVGO,VolumeBreakout,5m
87,-0.02,AVGO,BollingerRSI,15m
44,-0.02,AAPL,VolumeBreakout,5m
49,-0.02,META,VolumeBreakout,15m
45,-0.02,MSFT,VolumeBreakout,15m
76,-0.02,META,BollingerRSI,5m
51,-0.03,AVGO,VolumeBreakout,15m
50,-0.03,TSLA,VolumeBreakout,15m
16,-0.03,LLY,SMACross,15m
61,-0.04,LLY,RSIVolume,5m
40,-0.04,META,VolumeBreakout,5m
15,-0.04,AVGO,SMACross,15m
25,-0.05,LLY,EMACross,5m
70,-0.05,LLY,RSIVolume,15m
7,-0.06,LLY,SMACross,5m
52,-0.07,LLY,VolumeBreakout,15m
43,-0.09,LLY,VolumeBreakout,5m
