,profit,ticker,strategy,timeframe
52,0.55,LLY,VolumeBreakout,1h
49,0.35,META,VolumeBreakout,1h
43,0.33,LLY,VolumeBreakout,1d
40,0.27,META,VolumeBreakout,1d
67,0.26,META,RSIVolume,1h
13,0.2,META,SMACross,1h
31,0.16,META,EMACross,1h
27,0.13,MSFT,EMACross,1h
16,0.13,LLY,SMACross,1h
7,0.13,LLY,SMACross,1d
46,0.12,NVDA,VolumeBreakout,1h
22,0.12,META,EMACross,1d
34,0.11,LLY,EMACross,1h
85,0.11,META,BollingerRSI,1h
50,0.1,TSLA,VolumeBreakout,1h
47,0.1,AMZN,VolumeBreakout,1h
59,0.1,TSLA,RSIVolume,1d
39,0.09,GOOG,VolumeBreakout,1d
51,0.09,AVGO,VolumeBreakout,1h
29,0.08,AMZN,EMACross,1h
11,0.08,AMZN,SMACross,1h
25,0.08,LLY,EMACross,1d
10,0.06,NVDA,SMACross,1h
9,0.06,MSFT,SMACross,1h
44,0.06,AAPL,VolumeBreakout,1d
65,0.06,AMZN,RSIVolume,1h
28,0.06,NVDA,EMACross,1h
78,0.06,AVGO,BollingerRSI,1d
35,0.05,AAPL,EMACross,1h
6,0.05,AVGO,SMACross,1d
48,0.05,GOOG,VolumeBreakout,1h
45,0.05,MSFT,VolumeBreakout,1h
42,0.05,AVGO,VolumeBreakout,1d
33,0.05,AVGO,EMACross,1h
41,0.05,TSLA,VolumeBreakout,1d
30,0.05,GOOG,EMACross,1h
64,0.05,NVDA,RSIVolume,1h
53,0.05,AAPL,VolumeBreakout,1h
83,0.04,AMZN,BollingerRSI,1h
63,0.04,MSFT,RSIVolume,1h
61,0.04,LLY,RSIVolume,1d
21,0.04,GOOG,EMACross,1d
17,0.04,AAPL,SMACross,1h
71,0.04,AAPL,RSIVolume,1h
66,0.03,GOOG,RSIVolume,1h
26,0.03,AAPL,EMACross,1d
84,0.02,GOOG,BollingerRSI,1h
38,0.02,AMZN,VolumeBreakout,1d
32,0.02,TSLA,EMACross,1h
81,0.02,MSFT,BollingerRSI,1h
3,0.02,GOOG,SMACross,1d
2,0.02,AMZN,SMACross,1d
14,0.02,TSLA,SMACross,1h
1,0.01,NVDA,SMACross,1d
82,0.01,NVDA,BollingerRSI,1h
24,0.01,AVGO,EMACross,1d
12,0.01,GOOG,SMACross,1h
69,0.01,AVGO,RSIVolume,1h
89,0.01,AAPL,BollingerRSI,1h
80,0.0,AAPL,BollingerRSI,1d
72,0.0,MSFT,BollingerRSI,1d
68,0.0,TSLA,RSIVolume,1h
60,0.0,AVGO,RSIVolume,1d
74,0.0,AMZN,BollingerRSI,1d
62,0.0,AAPL,RSIVolume,1d
19,0.0,NVDA,EMACross,1d
8,0.0,AAPL,SMACross,1d
58,0.0,META,RSIVolume,1d
75,0.0,GOOG,BollingerRSI,1d
87,0.0,AVGO,BollingerRSI,1h
55,0.0,NVDA,RSIVolume,1d
54,0.0,MSFT,RSIVolume,1d
57,0.0,GOOG,RSIVolume,1d
56,0.0,AMZN,RSIVolume,1d
86,-0.01,TSLA,BollingerRSI,1h
5,-0.01,TSLA,SMACross,1d
20,-0.01,AMZN,EMACross,1d
77,-0.01,TSLA,BollingerRSI,1d
23,-0.02,TSLA,EMACross,1d
37,-0.02,NVDA,VolumeBreakout,1d
0,-0.03,MSFT,SMACross,1d
4,-0.03,META,SMACross,1d
73,-0.03,NVDA,BollingerRSI,1d
15,-0.03,AVGO,SMACross,1h
70,-0.04,LLY,RSIVolume,1h
18,-0.05,MSFT,EMACross,1d
76,-0.05,META,BollingerRSI,1d
79,-0.06,LLY,BollingerRSI,1d
36,-0.07,MSFT,VolumeBreakout,1d
88,-0.17,LLY,BollingerRSI,1h
